indicador,data,valor
Selic,25/07/2026,14.25
Selic,26/07/2026,14.25
Selic,27/07/2026,14.25
Selic,28/07/2026,14.25
Selic,29/07/2026,14.25
Selic,30/07/2026,14.25
Selic,31/07/2026,14.25
Selic,01/08/2026,14.25
Selic,02/08/2026,14.25
Selic,03/08/2026,14.25
Selic,04/08/2026,14.25
Selic,05/08/2026,14.25
IPCA,01/06/2025,5.35
IPCA,01/07/2025,5.23
IPCA,01/08/2025,5.13
IPCA,01/09/2025,5.17
IPCA,01/10/2025,4.68
IPCA,01/11/2025,4.46
IPCA,01/12/2025,4.26
IPCA,01/01/2026,4.44
IPCA,01/02/2026,3.81
IPCA,01/03/2026,4.14
IPCA,01/04/2026,4.39
IPCA,01/05/2026,4.72
Dolar,09/06/2026,5.1693
Dolar,10/06/2026,5.1763
Dolar,11/06/2026,5.1478
Dolar,12/06/2026,5.0827
Dolar,15/06/2026,5.043
Dolar,16/06/2026,5.078
Dolar,17/06/2026,5.0641
Dolar,18/06/2026,5.1613
Dolar,19/06/2026,5.1442
Dolar,22/06/2026,5.1395
Dolar,23/06/2026,5.1743
Dolar,24/06/2026,5.2098
